Barry|Allen|Flash|correr|cadarço|Star city|policial forense
Bros|Luigi|Mario Verde|pular mais alto|fantasma|No cano|ser irmão do mario
Bros|Mario|Super Mario|cogumelo|princesa|No cano|encanador
Bruce|Banner|Hulk|forte para caralho|viuva negra|nova york|fisico
Bruce|Wayne|Batman|rico|pobre|Gothan city|magnata
Charles|Xavier|Professor X|mega mente|pernas|mansão maromba|psicólogo
Diana|Prince|Mulher Maravilha|força para caralho|Steve turner|Themyscira|guerreira
Doug|Funny|Homem Codorna|Cinto na cabeça|Paty Maionese|States|estudante
Ernie|Sereia|Homem Sereia|Sereia|Homem|Fenda do biquini|aposentado
Felipe|Lorusso|Francesco|Mamar o Fallen|Xadrez|Ibitinga|enganar otário
Gojo|Satoru|The Strongest|Feiticeiro Jujutsu|Suguru Geto|Senday City| Professor
Hal|Jordan|Lanterna Verde|Anel|Lanterna amarelo|Coast City|piloto
James|Logan|Wolverine|fator cura|jean gray|Canada|alcoolatra
Kobo|Kanaeru|Kobochan|Holobaby|Regus|Indonesia|Vtuber
Lava|Girl|Lava Girl|Lava|Agua|Vulcao|bombeira
Link|Link|Zelda|Triforce|Ganondorf|Hyrule|duende
Lloyd|Garmadon|Green Ninja| Verde|Lord Garmadon|Ninjago|Ninja
Lucas|Prado|Pride|reclamar|hackathon|Cacapava|procrastinador
Luiz Inácio|Lula da SIlva|Lula|Alma mais honesta do Brazil|Cachaça|Presídio|Ladrão
Marc|Spector|Cavaleiro da Lua|traje|esquizofrenia|Egito|mercenário
Mendigo|Dos Mares|Mendigo do Mares|Mendigo|Riqueza|Mares|Lixeiro
Mestre|Dos Magos|Mestre dos Magos|Sumir|Aparecer|O Reino|Guia
Optimus|Prime|Optimus Prime|Discurso|Relampago Mcqueen|New York|Test drive
Pennyworth|Alfred|Mordomão|Faz miojo de 5min em 3min|Batman|Gothan City|Mordomo
Plinio|Vinicius|PlinieOxcall|Dormir|Aulas|UTFPR|entretenimento
Ruan|Perondi|Whuan Peperoni|Bodybuilder|apresentacao|china|vagal
Saitama| Francisco| One Punch Men|Soco|Cabelo|China|Heroi
Shark|Boy|Shark Boy|Shark|boy|Oceano|pescador
Sheldon|Cooper|Shelly|Inteligencia|Pessoas|Pasadina|Fisico
Steve|Rogers|Capitão América|super soldado|freezer|Nova York|soldado
T'challa|King|Pantera Negra|roupa|sem a roupa|Wakanda|rei
Uzumaki|Naruto|Naruto Uzumaki|Raposa|Sasuke|Konoha|Ninja
Victor|Batista|Baterista|Ficar puto|Slides Hackatau|UTFPR|Minecraft Proplayer
Virgil|Hawkins|Super Choque|choque|borracha|Dakota|estudante
Wade|Wilson|Deadpool|fator de cura|maluco|Canada|mercenario
Wendel|Goes|eeeeehhhhhh|sono|chamada|UTFPR|professor
